season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B
2022,673.0,Aguilas de Mexicali,689161,Carlos Arellano,LF,16,11,2,2,0,0,7,2,0,12,1,0.316,38,0.366,0.368,0.734,1,0,0.0,0,154,43,14,5,14,2,0,0.387,1.1,,MXC,
2022,673.0,Aguilas de Mexicali,434562,Chris Roberson,RF,9,6,4,1,0,0,6,3,0,10,1,0.313,32,0.378,0.344,0.722,0,2,100.0,0,158,37,11,2,16,0,1,0.37,0.55,,MXC,
2022,673.0,Aguilas de Mexicali,681944,Dean Nevarez,X,5,1,0,0,0,0,4,0,0,2,0,0.286,7,0.286,0.286,0.572,0,0,,0,28,7,2,1,5,0,0,0.667,1.0,,MXC,
2022,673.0,Aguilas de Mexicali,511428,Leo Heras,CF,58,42,26,4,5,2,41,32,2,47,2,0.273,172,0.389,0.39,0.779,6,8,57.1,0,860,208,67,25,77,0,2,0.344,0.95,86.0,MXC,
2022,673.0,Aguilas de Mexicali,608608,Carlos Munoz,1B,11,9,2,1,0,0,4,4,1,9,0,0.273,33,0.351,0.303,0.654,0,1,100.0,2,135,37,10,3,17,0,0,0.31,0.82,,MXC,
2022,673.0,Aguilas de Mexicali,471906,Reynaldo Rodriguez,1B,57,54,29,10,3,4,33,17,0,57,1,0.259,220,0.311,0.386,0.697,2,9,81.8,6,914,241,85,25,99,0,3,0.285,0.68,55.0,MXC,
2022,673.0,Aguilas de Mexicali,572868,Anthony Giansanti,LF,62,60,32,17,1,10,47,29,2,58,3,0.251,231,0.342,0.463,0.805,2,2,50.0,7,1077,265,107,34,95,2,0,0.276,0.88,23.1,MXC,
2022,673.0,Aguilas de Mexicali,543875,Niko Vasquez,3B,62,57,30,8,0,8,38,36,1,53,2,0.248,214,0.357,0.397,0.754,1,2,66.7,3,959,255,85,33,108,0,3,0.263,0.83,26.75,MXC,
2022,673.0,Aguilas de Mexicali,594988,Scott Schebler,RF,29,28,11,3,0,1,26,10,2,26,4,0.243,107,0.325,0.299,0.624,2,2,50.0,0,475,123,32,14,42,0,2,0.305,0.97,107.0,MXC,
2022,673.0,Aguilas de Mexicali,663796,Coco Montes,SS,33,22,10,4,1,0,24,9,0,28,2,0.228,123,0.285,0.276,0.561,3,2,40.0,2,492,138,34,8,51,1,3,0.275,0.42,,MXC,
2022,673.0,Aguilas de Mexicali,595373,Jack Reinheimer,SS,19,17,3,0,0,0,14,8,1,13,0,0.217,60,0.309,0.217,0.526,1,3,75.0,0,267,68,13,2,24,0,0,0.283,1.06,,MXC,
2022,673.0,Aguilas de Mexicali,807580,Diego Ramirez,3B,13,4,2,0,0,0,5,0,0,3,0,0.214,14,0.214,0.214,0.428,1,0,0.0,1,50,14,3,1,7,0,0,0.333,2.0,,MXC,
2022,673.0,Aguilas de Mexicali,518530,Xorge Carrillo,C,61,63,12,10,0,1,32,10,0,40,6,0.208,192,0.267,0.276,0.543,0,1,100.0,8,741,216,53,15,87,6,2,0.242,0.97,192.0,MXC,
2022,673.0,Aguilas de Mexicali,662966,Bernardo Heras,2B,44,28,11,5,0,0,30,18,2,23,2,0.205,112,0.321,0.25,0.571,1,1,50.0,4,505,135,28,8,43,1,2,0.274,0.82,,MXC,
2022,673.0,Aguilas de Mexicali,518770,Alonzo Harris,RF,19,23,9,1,0,1,11,13,0,13,0,0.197,66,0.329,0.258,0.587,1,0,0.0,2,335,80,17,8,23,1,0,0.222,1.15,66.0,MXC,
2022,673.0,Aguilas de Mexicali,672906,Lazaro Alonso,DH,14,8,5,1,0,1,14,13,0,7,0,0.194,36,0.408,0.306,0.714,2,0,0.0,1,206,49,11,4,22,0,0,0.286,1.14,36.0,MXC,
2022,673.0,Aguilas de Mexicali,554333,Raul Navarro,3B,16,23,3,2,0,0,7,7,1,10,1,0.192,52,0.3,0.231,0.531,2,1,33.3,0,277,61,12,4,30,1,0,0.222,1.77,,MXC,
2022,673.0,Aguilas de Mexicali,650995,Norberto Obeso,RF,31,37,10,1,0,1,23,15,0,18,4,0.189,95,0.325,0.232,0.557,3,0,0.0,1,461,116,22,3,34,2,0,0.239,1.95,95.0,MXC,
2022,673.0,Aguilas de Mexicali,676021,Luis Santos,2B,53,41,22,3,4,0,29,18,0,26,5,0.184,141,0.297,0.262,0.559,1,7,87.5,1,696,166,37,8,72,1,1,0.23,0.87,,MXC,
2022,673.0,Aguilas de Mexicali,594092,Angel Chavarin,C,20,5,2,1,0,0,11,1,0,4,0,0.182,22,0.217,0.227,0.444,0,0,,1,95,23,5,3,13,0,0,0.364,2.5,,MXC,
2022,673.0,Aguilas de Mexicali,503429,Walter Ibarra,2B,26,27,6,2,0,0,28,6,0,17,0,0.177,96,0.221,0.198,0.419,1,0,0.0,1,432,108,19,6,39,4,2,0.243,0.9,,MXC,
2022,673.0,Aguilas de Mexicali,665870,Kevin Zamudio,DH,12,6,3,1,0,1,11,1,0,5,0,0.152,33,0.176,0.273,0.449,0,0,,3,138,34,9,3,23,0,0,0.19,0.55,33.0,MXC,
2022,673.0,Aguilas de Mexicali,672953,Gilberto Vizcarra,C,22,16,1,0,0,0,6,8,1,5,3,0.111,45,0.286,0.111,0.397,0,0,,1,205,56,5,4,22,0,0,0.128,0.89,,MXC,
2022,673.0,Aguilas de Mexicali,499926,Alex Liddi,3B,6,2,0,1,0,0,9,0,0,2,0,0.105,19,0.105,0.158,0.263,1,0,0.0,0,81,19,3,0,13,0,0,0.2,0.33,,MXC,
2022,673.0,Aguilas de Mexicali,653248,Amilcar Gomez,X,26,6,4,1,0,0,11,3,0,2,0,0.083,24,0.185,0.125,0.31,0,0,,0,114,28,3,0,13,1,0,0.154,1.0,,MXC,
2022,673.0,Aguilas de Mexicali,517370,Jimmy Paredes,DH,5,6,1,0,0,0,5,2,1,1,0,0.067,15,0.176,0.067,0.243,0,0,,0,67,17,1,1,10,0,0,0.1,2.0,,MXC,
2022,674.0,Charros de Jalisco,679589,Fernando Villegas,RF,63,56,28,13,5,5,37,18,1,70,5,0.337,208,0.399,0.519,0.918,1,0,0.0,4,869,233,108,32,86,0,2,0.387,1.19,41.6,JAL,
2022,674.0,Charros de Jalisco,650531,Brad Zunica,1B,9,6,3,2,0,0,4,5,3,9,0,0.321,28,0.424,0.393,0.817,1,0,0.0,0,101,33,11,2,17,0,0,0.375,0.67,,JAL,
2022,674.0,Charros de Jalisco,469117,Amadeo Zazueta,SS,67,95,29,14,2,1,22,9,1,88,1,0.311,283,0.332,0.385,0.717,1,0,0.0,9,999,298,109,18,128,3,2,0.332,1.14,283.0,JAL,
2022,674.0,Charros de Jalisco,645848,Dariel Álvarez,RF,33,36,14,11,1,0,13,7,1,39,3,0.3,130,0.345,0.4,0.745,1,2,66.7,3,470,142,52,11,72,0,2,0.328,0.82,,JAL,
2022,674.0,Charros de Jalisco,676140,Julian Ornelas,CF,65,56,39,9,4,8,53,26,0,68,2,0.298,228,0.375,0.478,0.853,3,8,72.7,1,1052,259,109,28,99,3,0,0.359,1.04,28.5,JAL,
2022,674.0,Charros de Jalisco,591572,Jose Aguilar,LF,38,34,13,6,1,2,25,19,0,37,3,0.296,125,0.401,0.408,0.809,1,2,66.7,1,635,148,51,18,57,1,0,0.357,1.13,62.5,JAL,
2022,674.0,Charros de Jalisco,570799,Christian Villanueva,1B,64,43,33,14,0,6,44,34,1,69,1,0.288,240,0.373,0.421,0.794,1,6,85.7,4,1064,279,101,42,111,0,4,0.325,0.49,40.0,JAL,
2022,674.0,Charros de Jalisco,524648,Alejandro Gonzalez,CF,9,4,2,1,0,1,6,9,0,7,3,0.269,26,0.5,0.423,0.923,1,0,0.0,0,176,38,11,1,7,0,0,0.316,0.44,26.0,JAL,
2022,674.0,Charros de Jalisco,519434,Michael Wing,1B,14,14,5,2,0,0,5,8,0,13,0,0.255,51,0.356,0.294,0.65,0,0,,2,237,59,15,5,24,0,0,0.283,0.74,,JAL,
2022,674.0,Charros de Jalisco,622700,Santiago Chávez,C,29,28,5,5,0,0,20,3,0,20,1,0.253,79,0.289,0.316,0.605,1,0,0.0,2,313,89,25,4,51,6,0,0.339,1.65,,JAL,
2022,674.0,Charros de Jalisco,473242,Agustin Murillo,3B,63,75,21,9,0,2,33,22,0,55,2,0.238,231,0.306,0.303,0.609,4,3,42.9,7,1026,259,70,26,120,1,3,0.266,1.04,115.5,JAL,
2022,674.0,Charros de Jalisco,547375,Sergio Perez,X,30,19,9,3,0,3,14,5,1,15,0,0.234,64,0.29,0.422,0.712,0,0,,2,267,69,27,10,35,0,0,0.255,1.19,21.33,JAL,
2022,674.0,Charros de Jalisco,668992,Missael Rivera,2B,54,48,19,10,1,2,28,21,1,39,1,0.234,167,0.319,0.341,0.66,0,0,,4,733,194,57,25,80,3,2,0.266,0.84,83.5,JAL,
2022,674.0,Charros de Jalisco,616404,Edson Garcia,LF,40,20,16,7,0,0,25,12,1,21,1,0.226,93,0.321,0.301,0.622,0,2,100.0,3,444,106,28,2,33,0,0,0.309,0.74,,JAL,
2022,674.0,Charros de Jalisco,603877,Fernando Flores,C,41,25,10,9,1,0,25,18,0,25,0,0.225,111,0.326,0.324,0.65,2,0,0.0,4,550,132,36,13,54,0,3,0.281,0.64,,JAL,
2022,674.0,Charros de Jalisco,515189,Japhet Amador,DH,22,23,5,4,0,0,21,9,0,16,0,0.195,82,0.275,0.244,0.519,0,0,,4,378,91,20,2,47,0,0,0.262,1.05,,JAL,
2022,674.0,Charros de Jalisco,501647,Wilin Rosario,1B,8,9,1,0,0,1,7,0,0,6,0,0.182,33,0.176,0.273,0.449,0,0,,3,117,34,9,3,22,0,1,0.192,0.75,33.0,JAL,
2022,674.0,Charros de Jalisco,497575,Manny Rodriguez,2B,19,16,5,3,0,1,14,2,0,13,4,0.181,72,0.244,0.264,0.508,0,0,,3,301,78,19,7,51,0,0,0.211,0.55,72.0,JAL,
2022,674.0,Charros de Jalisco,691858,Jared Serna,2B,20,12,2,1,0,0,6,1,0,5,0,0.161,31,0.188,0.194,0.382,0,1,100.0,0,106,33,6,0,12,1,0,0.2,1.33,,JAL,
2022,674.0,Charros de Jalisco,596671,Omar Renteria,C,11,8,2,2,0,0,5,2,0,3,0,0.15,20,0.227,0.25,0.477,0,0,,2,74,22,5,2,11,0,0,0.2,2.0,,JAL,
2022,674.0,Charros de Jalisco,542979,Keon Broxton,CF,5,4,1,0,0,0,13,2,0,1,0,0.05,20,0.136,0.05,0.186,0,0,,1,93,22,1,0,19,0,0,0.143,2.0,,JAL,
2022,674.0,Charros de Jalisco,571531,Sergio Burruel,C,5,2,0,0,0,0,0,0,0,0,1,0.0,4,0.2,0.0,0.2,0,0,,0,15,5,0,0,2,0,0,0.0,1.0,,JAL,
2022,674.0,Charros de Jalisco,680029,Oziel Flores,X,5,0,2,0,0,0,1,0,0,0,0,0.0,2,0.0,0.0,0.0,0,0,,0,4,2,0,0,3,0,0,0.0,0.0,,JAL,
